LAD23CD,Region,Year,Inventors,Residents,Density,GDHI,GDP,GVA
E07000012,South Cambridgeshire,2001,44,130476,0.79,134.8,3458,3285
E07000012,South Cambridgeshire,2002,31,131893,0.82,137.3,3550,3371
E07000012,South Cambridgeshire,2003,22,134057,0.81,137.8,3653,3466
E07000012,South Cambridgeshire,2004,27,135645,0.77,140.4,3806,3604
E07000012,South Cambridgeshire,2005,37,137420,0.81,146.6,3986,3740
E07000012,South Cambridgeshire,2006,37,139264,0.85,146,4246,3981
E07000012,South Cambridgeshire,2007,30,141484,0.82,141.8,4309,4033
E07000012,South Cambridgeshire,2008,30,143591,0.83,139.5,4261,4010
E07000012,South Cambridgeshire,2009,17,145679,0.8,141,4159,3940
E07000012,South Cambridgeshire,2010,22,147890,0.86,137.7,4372,4104
E07000012,South Cambridgeshire,2011,36,149842,0.83,136.1,4436,4124
E07000012,South Cambridgeshire,2012,32,150906,0.78,137.8,4587,4270
E07000012,South Cambridgeshire,2013,18,151188,0.8,138.7,4489,4158
E07000012,South Cambridgeshire,2014,40,152932,0.89,141.7,4773,4418
E07000211,Reigate and Banstead,2001,0,126661,0.85,129.1,6212,5721
E07000211,Reigate and Banstead,2002,2,126272,0.86,132.8,6442,5912
E07000211,Reigate and Banstead,2003,0,126665,0.88,132.1,6404,5901
E07000211,Reigate and Banstead,2004,1,127222,0.81,134,6555,6025
E07000211,Reigate and Banstead,2005,1,127760,0.87,139,6402,5921
E07000211,Reigate and Banstead,2006,2,129190,0.84,143.7,7297,6721
E07000211,Reigate and Banstead,2007,1,131224,0.84,141.2,7327,6777
E07000211,Reigate and Banstead,2008,9,132857,0.82,138.6,7252,6768
E07000211,Reigate and Banstead,2009,156,134934,0.77,135.8,6972,6578
E07000211,Reigate and Banstead,2010,130,136741,0.81,137.2,7153,6673
E07000211,Reigate and Banstead,2011,102,138375,0.84,139.2,7173,6640
E07000211,Reigate and Banstead,2012,75,139772,0.84,142.1,7146,6607
E07000211,Reigate and Banstead,2013,99,140928,0.86,140.3,7722,7176
E07000211,Reigate and Banstead,2014,73,142858,0.86,137.6,6901,6394
E06000054,Wiltshire,2001,19,433508,0.82,103.5,9530,8906
E06000054,Wiltshire,2002,18,438386,0.8,106.2,9758,9113
E06000054,Wiltshire,2003,4,442633,0.83,107.2,9970,9273
E06000054,Wiltshire,2004,8,445632,0.8,105.8,10090,9336
E06000054,Wiltshire,2005,12,448670,0.81,105.5,10140,9355
E06000054,Wiltshire,2006,9,453041,0.81,105,10349,9517
E06000054,Wiltshire,2007,25,458840,0.81,102.8,10524,9639
E06000054,Wiltshire,2008,30,464007,0.79,102.5,10601,9736
E06000054,Wiltshire,2009,32,466711,0.79,104.4,10256,9502
E06000054,Wiltshire,2010,41,470199,0.79,103.2,10807,9910
E06000054,Wiltshire,2011,38,474319,0.78,102.4,10819,9826
E06000054,Wiltshire,2012,31,476914,0.72,101.6,11660,10549
E06000054,Wiltshire,2013,7,479911,0.76,100.5,11939,10794
E06000054,Wiltshire,2014,12,484560,0.85,100.7,12266,11083
E06000023,Bristol,2001,24,390049,1.03,98.8,11924,10400
E06000023,Bristol,2002,10,389735,1.06,95.9,12115,10556
E06000023,Bristol,2003,10,391454,0.99,95.3,12340,10766
E06000023,Bristol,2004,10,395743,0.96,95.2,12605,10980
E06000023,Bristol,2005,12,405407,0.94,92.7,12662,11081
